OBJECTID,osm_id,code,fclass,width,name,Shape_Leng
"1333","162804015","8104",drain,"0",,263.50892522000
"1334","162804016","8104",drain,"0",,91.07791062990
"1335","162804017","8104",drain,"0",,65.97802611160
"1336","162804018","8104",drain,"0",,524.60519139900
"1337","162804019","8104",drain,"0",,2.60395182133
"1338","162804020","8104",drain,"0",,46.29751314420
"1339","162804021","8104",drain,"0",,251.25180126700
"1340","162804022","8104",drain,"0",,49.11035066690
"1341","162804024","8104",drain,"0",,9.58396161935
"1342","162804025","8104",drain,"0",,330.21457534300
"1343","162804026","8104",drain,"0",,181.14994057500
"1344","162804027","8104",drain,"0",,2.60458917010
"1345","162804028","8104",drain,"0",,10.45322902190
"1346","162804029","8104",drain,"0",,191.10858319300
"1347","162804031","8104",drain,"0",,13.32026667090
"1348","162804032","8104",drain,"0",,45.61938078860
"1349","162804033","8104",drain,"0",,53.58335946770
"1350","162804345","8104",drain,"0",,173.46853234500
"1351","162804347","8104",drain,"0",,465.47791794900
"1352","162804360","8104",drain,"0",,248.83807930100
"1353","162804373","8104",drain,"0",,131.83942434100
"1354","162804381","8104",drain,"0",,619.06752039600
"1355","162804382","8104",drain,"0",,189.78910716300
"1356","162804387","8104",drain,"0",,80.62553829450
"1357","162804691","8104",drain,"0",,56.85954490530
"1358","162804698","8104",drain,"0",,50.64196771170
"1359","162804702","8104",drain,"0",,147.88331761100
"1360","162816036","8104",drain,"0",,49.66282336940
"1361","162816042","8104",drain,"0",,75.85753793800
"1362","162816056","8104",drain,"0",,74.42934759160
"1363","162816081","8104",drain,"0",,2.90779458055
"1364","163143608","8104",drain,"0",,57.71930966510
"1365","163143637","8104",drain,"0",,255.32447961800
"1366","163143643","8104",drain,"0",,330.51309752700
"1367","163143655","8104",drain,"0",,46.29409518740
"1368","163143663","8104",drain,"0",,50.81246653670
"1369","163143675","8104",drain,"0",,23.23075349820
"1370","163143682","8104",drain,"0",,337.25667242200
"1371","163143692","8104",drain,"0",,98.76240239920
"1372","163143693","8104",drain,"0",,323.57142704400
"1373","163143698","8104",drain,"0",,350.73048084000
"1374","163143703","8104",drain,"0",,120.92167805000
"1375","163143711","8104",drain,"0",,49.89687274210
"1376","163143717","8104",drain,"0",,44.77279741240
"1377","163143726","8104",drain,"0",,14.66413837420
"1378","163143747","8104",drain,"0",,132.70331151000
"1379","163143751","8104",drain,"0",,82.62111137860
"1380","163143760","8104",drain,"0",,23.00486906790
"1381","163143772","8104",drain,"0",,335.22484748300
"1382","163143784","8104",drain,"0",,138.39592690700
"1383","163143793","8104",drain,"0",,149.93132246600
"1384","163147003","8104",drain,"0",,88.00320828730
"1385","163147004","8104",drain,"0",,122.46367977700
"1386","163147012","8104",drain,"0",,43.53778058860
"1387","163147013","8104",drain,"0",,124.45029631400
"1388","163147014","8101",river,"0",Ανθεμούντας,19705.46892910000
"1389","163147019","8104",drain,"0",,215.65117543900
"1390","163147021","8104",drain,"0",,12.96947121780
"1391","163147024","8104",drain,"0",,126.38982180100
"1392","163147026","8104",drain,"0",,13.34141864710
"1393","163147028","8104",drain,"0",,26.74084104810
"1394","163147030","8104",drain,"0",,69.18680220210
"1395","163147031","8104",drain,"0",,86.90209112370
"1396","163147032","8104",drain,"0",,81.47693535470
"1397","163206101","8102",stream,"0",Περιφερειακή Τάφρος (Ρέμα Τούμπας),944.28710206100
"1398","163206103","8102",stream,"0",Περιφερειακή Τάφρος (Ρέμα Τούμπας),1102.00737896000
"1399","163206769","8104",drain,"0",,181.74179660800
"1400","163206770","8104",drain,"0",,8.04143705128
"1401","163206771","8104",drain,"0",,364.86412744100
"1402","163206773","8104",drain,"0",,62.85427319650
"1403","163206774","8104",drain,"0",,11.89730949210
"1404","163206775","8104",drain,"0",,398.43331973300
"1405","163206776","8104",drain,"0",,13.96546524150
"1406","163206778","8104",drain,"0",,14.37043993720
"1407","163206779","8104",drain,"0",,72.82709393170
"1408","163217220","8102",stream,"0",,114.46633541900
"1409","163217224","8102",stream,"0",,999.76076694900
"1410","163272702","8102",stream,"0",,279.12116133900
"1411","163272709","8102",stream,"0",,55.51737006320
"1412","163383873","8101",river,"0",Κόζιακας,466.29854980800
"1413","163383874","8101",river,"0",Κόζιακας,91.03951029570
"1414","163383877","8101",river,"0",,483.56158927800
"1415","163383878","8101",river,"0",Κόζιακας,592.00455845500
"1416","163383879","8101",river,"0",Κόζιακας,569.44108529300
"1417","163383880","8101",river,"0",Κόζιακας,322.68520574200
"1418","163383881","8101",river,"0",Κόζιακας,734.38836920800
"1419","163383884","8102",stream,"0",,164.38117066600
"1420","163383887","8101",river,"0",Κόζιακας,494.89907954100
"1421","163383891","8102",stream,"0",,498.91270084600
"1422","163383894","8101",river,"0",Κόζιακας,233.79358706300
"1423","163383896","8101",river,"0",Κόζιακας,538.22704627200
"1424","163383897","8101",river,"0",Κόζιακας,1152.30239293000
"1425","163383898","8101",river,"0",Κόζιακας,1907.46851408000
"1426","163383899","8101",river,"0",Κόζιακας,380.83313299100
"1427","163383901","8101",river,"0",,583.51981519400
"1428","163383904","8101",river,"0",Κόζιακας,289.74711180800
"1429","163383911","8102",stream,"0",Νερότοπος,1634.98628335000
"1430","163383912","8101",river,"0",Κόζιακας,750.70138998900
"1431","163383913","8102",stream,"0",,9850.68839048000
"1432","163383915","8102",stream,"0",,2510.05040307000
"1433","163383916","8101",river,"0",Κόζιακας,502.18994631000
"1434","163383920","8101",river,"0",Κόζιακας,140.98165397400
"1435","163383921","8102",stream,"0",,1370.81805995000
"1436","163383922","8102",stream,"0",,3284.99338304000
"1437","163383924","8101",river,"0",Κόζιακας,982.44058534900
"1438","163383925","8101",river,"0",,755.91846643000
"1439","163383927","8102",stream,"0",,4799.17964868000
"1440","163383929","8102",stream,"0",,5878.40003013000
"1441","163383930","8101",river,"0",,92.56782547710
"1442","163383931","8101",river,"0",Κόζιακας,3555.06390380000
"1443","163383942","8102",stream,"0",,1171.03808559000
"1444","163383946","8102",stream,"0",,825.04127523800
"1445","163383947","8101",river,"0",Κόζιακας,131.04692920100
"1446","163383948","8102",stream,"0",Νερότοπος,4551.47742165000
"1447","163383949","8104",drain,"0",,91.03196936990
"1448","163383950","8101",river,"0",Κόζιακας,328.73954102900
"1449","163383952","8101",river,"0",,2619.35752162000
"1450","163383954","8101",river,"0",Κόζιακας,811.24641678200
